time,temperature_2m_max (°F),temperature_2m_min (°F),apparent_temperature_max (°F),apparent_temperature_min (°F),sunrise (iso8601),sunset (iso8601),shortwave_radiation_sum (MJ/m²),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),windspeed_10m_max (m/s),windgusts_10m_max (m/s),winddirection_10m_dominant (°),et0_fao_evapotranspiration (mm)
2002-12-02,88.7,58.6,89.4,57.6,2002-12-01T13:40,2002-12-02T04:05,32.01,0.00,0.00,0.00,0.0,4.61,10.70,313,7.08
2002-12-03,89.4,65.5,88.3,62.1,2002-12-02T13:40,2002-12-03T04:06,31.97,0.00,0.00,0.00,0.0,8.95,19.30,298,7.24
2002-12-04,74.1,48.9,64.3,40.6,2002-12-03T13:40,2002-12-04T04:07,25.96,0.00,0.00,0.00,0.0,10.49,20.60,283,5.96
2002-12-05,66.1,41.2,56.2,32.0,2002-12-04T13:40,2002-12-05T04:08,23.92,4.10,4.10,0.00,4.0,9.18,22.50,268,4.14
2002-12-06,70.9,37.4,71.6,32.1,2002-12-05T13:40,2002-12-06T04:09,30.77,0.00,0.00,0.00,0.0,5.82,13.80,261,5.50
2002-12-07,78.6,45.1,74.7,42.4,2002-12-06T13:40,2002-12-07T04:09,32.98,0.00,0.00,0.00,0.0,6.04,14.60,324,6.27
2002-12-08,78.6,54.2,73.1,49.2,2002-12-07T13:40,2002-12-08T04:10,27.05,0.20,0.20,0.00,1.0,7.11,17.30,306,6.14
2002-12-09,68.8,46.8,63.8,41.3,2002-12-08T13:40,2002-12-09T04:11,10.87,8.80,8.80,0.00,19.0,5.69,13.30,120,2.11
2002-12-10,74.7,45.4,76.5,40.4,2002-12-09T13:40,2002-12-10T04:12,27.96,0.00,0.00,0.00,0.0,4.92,11.00,146,5.03
2002-12-11,78.4,51.2,76.4,49.4,2002-12-10T13:40,2002-12-11T04:13,31.15,0.00,0.00,0.00,0.0,5.76,13.40,341,6.09
2002-12-12,79.7,47.1,74.6,42.5,2002-12-11T13:40,2002-12-12T04:13,34.18,0.00,0.00,0.00,0.0,6.07,14.20,302,7.19
2002-12-13,79.8,54.8,82.1,52.8,2002-12-12T13:41,2002-12-13T04:14,32.87,0.00,0.00,0.00,0.0,6.15,14.40,17,6.79
2002-12-14,88.0,53.2,87.0,52.8,2002-12-13T13:41,2002-12-14T04:15,33.38,0.00,0.00,0.00,0.0,4.21,9.30,332,7.02
2002-12-15,93.3,58.4,91.6,56.7,2002-12-14T13:41,2002-12-15T04:15,32.18,0.00,0.00,0.00,0.0,4.52,10.10,284,7.50
2002-12-16,92.4,59.3,92.2,58.3,2002-12-15T13:41,2002-12-16T04:16,30.39,0.00,0.00,0.00,0.0,4.30,8.70,103,6.76
2002-12-17,84.7,59.0,90.1,58.6,2002-12-16T13:42,2002-12-17T04:17,29.92,1.90,1.90,0.00,2.0,5.32,11.80,90,6.16
2002-12-18,83.1,59.5,87.4,57.6,2002-12-17T13:42,2002-12-18T04:17,23.25,1.50,1.50,0.00,2.0,4.80,10.20,94,4.98
2002-12-19,91.1,58.1,92.3,59.4,2002-12-18T13:43,2002-12-19T04:18,28.70,0.10,0.10,0.00,1.0,4.49,11.10,333,6.23
2002-12-20,93.7,59.9,93.9,61.4,2002-12-19T13:43,2002-12-20T04:18,30.75,0.00,0.00,0.00,0.0,4.65,11.50,102,7.13
2002-12-21,95.6,60.8,94.4,57.9,2002-12-20T13:44,2002-12-21T04:19,32.68,0.00,0.00,0.00,0.0,5.84,13.80,292,8.47
2002-12-22,97.1,54.3,93.8,49.8,2002-12-21T13:44,2002-12-22T04:19,28.26,0.00,0.00,0.00,0.0,5.61,13.10,100,5.82
2002-12-23,74.9,56.6,75.1,53.5,2002-12-22T13:45,2002-12-23T04:20,17.63,0.20,0.20,0.00,1.0,5.32,12.30,109,3.95
2002-12-24,76.7,55.1,80.2,54.0,2002-12-23T13:45,2002-12-24T04:20,21.38,0.50,0.50,0.00,3.0,5.10,10.70,95,4.33
2002-12-25,77.9,53.9,77.8,48.6,2002-12-24T13:46,2002-12-25T04:21,19.01,0.00,0.00,0.00,0.0,6.46,14.80,105,4.21
2002-12-26,78.9,53.7,79.6,52.1,2002-12-25T13:46,2002-12-26T04:21,23.07,0.00,0.00,0.00,0.0,4.90,11.20,75,4.54
2002-12-27,81.3,59.2,81.6,57.2,2002-12-26T13:47,2002-12-27T04:21,21.91,0.50,0.50,0.00,2.0,5.06,11.30,101,4.74
2002-12-28,86.3,56.8,89.1,56.3,2002-12-27T13:48,2002-12-28T04:22,29.18,0.30,0.30,0.00,1.0,4.34,9.70,68,5.98
2002-12-29,86.9,58.8,88.2,59.4,2002-12-28T13:49,2002-12-29T04:22,26.84,0.00,0.00,0.00,0.0,4.22,10.00,352,6.08
2002-12-30,84.1,61.9,82.1,60.0,2002-12-29T13:49,2002-12-30T04:22,22.36,0.00,0.00,0.00,0.0,8.20,15.30,344,5.68
2002-12-31,81.2,59.3,75.1,58.1,2002-12-30T13:50,2002-12-31T04:23,8.63,15.90,15.90,0.00,18.0,5.41,16.00,333,2.02
2003-01-01,74.4,48.6,74.2,45.9,2002-12-31T13:51,2003-01-01T04:23,23.26,0.00,0.00,0.00,0.0,4.74,10.30,288,4.56
2003-01-02,79.3,56.7,77.2,56.5,2003-01-01T13:51,2003-01-02T04:23,23.86,0.00,0.00,0.00,0.0,4.52,10.70,16,4.99
2003-01-03,82.3,59.0,83.1,58.4,2003-01-02T13:52,2003-01-03T04:23,24.33,0.20,0.20,0.00,1.0,4.28,9.60,77,5.22
2003-01-04,83.0,58.1,84.0,57.5,2003-01-03T13:53,2003-01-04T04:23,22.67,0.40,0.40,0.00,2.0,5.51,12.90,87,4.90
2003-01-05,85.4,59.8,86.0,59.9,2003-01-04T13:54,2003-01-05T04:23,26.51,0.00,0.00,0.00,0.0,5.51,12.40,75,5.66
2003-01-06,90.5,56.8,88.8,57.1,2003-01-05T13:55,2003-01-06T04:23,31.49,0.00,0.00,0.00,0.0,4.51,12.30,263,7.10
2003-01-07,91.2,60.6,87.1,59.3,2003-01-06T13:56,2003-01-07T04:23,28.75,0.50,0.50,0.00,1.0,7.34,18.20,306,7.28
2003-01-08,81.2,46.4,77.5,40.2,2003-01-07T13:57,2003-01-08T04:23,31.42,1.50,1.50,0.00,3.0,6.21,16.50,175,6.27
2003-01-09,77.2,50.4,76.5,47.2,2003-01-08T13:57,2003-01-09T04:23,31.22,0.00,0.00,0.00,0.0,5.79,13.20,117,6.14
2003-01-10,74.5,55.2,69.8,50.5,2003-01-09T13:58,2003-01-10T04:23,23.37,0.00,0.00,0.00,0.0,6.06,13.90,119,4.88
2003-01-11,73.8,52.9,72.8,48.5,2003-01-10T13:59,2003-01-11T04:23,28.37,0.00,0.00,0.00,0.0,5.64,13.20,121,5.52
2003-01-12,77.7,52.3,80.3,49.4,2003-01-11T14:00,2003-01-12T04:22,31.43,0.00,0.00,0.00,0.0,5.19,12.60,107,5.92
2003-01-13,82.9,53.1,84.9,51.6,2003-01-12T14:01,2003-01-13T04:22,29.88,0.00,0.00,0.00,0.0,3.83,9.60,82,5.97
2003-01-14,83.5,57.9,83.3,55.1,2003-01-13T14:02,2003-01-14T04:22,25.04,0.00,0.00,0.00,0.0,4.21,9.60,95,5.38
2003-01-15,86.3,59.9,87.8,58.2,2003-01-14T14:03,2003-01-15T04:22,27.59,0.00,0.00,0.00,0.0,5.51,11.70,87,6.13
2003-01-16,93.6,58.7,89.9,59.2,2003-01-15T14:04,2003-01-16T04:21,29.24,0.00,0.00,0.00,0.0,7.16,16.60,327,7.25
2003-01-17,97.7,67.5,94.8,64.7,2003-01-16T14:05,2003-01-17T04:21,29.52,0.00,0.00,0.00,0.0,6.92,15.20,299,8.67
2003-01-18,98.4,58.4,93.0,57.8,2003-01-17T14:06,2003-01-18T04:21,31.81,0.00,0.00,0.00,0.0,6.82,15.10,28,7.44
2003-01-19,90.3,49.8,91.8,47.0,2003-01-18T14:07,2003-01-19T04:20,31.70,0.00,0.00,0.00,0.0,6.80,15.90,101,6.82
2003-01-20,94.6,61.2,91.7,62.1,2003-01-19T14:08,2003-01-20T04:20,28.22,0.00,0.00,0.00,0.0,5.28,12.60,317,6.87
