time,temperature_2m_max (°F),temperature_2m_min (°F),apparent_temperature_max (°F),apparent_temperature_min (°F),sunrise (iso8601),sunset (iso8601),shortwave_radiation_sum (MJ/m²),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),windspeed_10m_max (m/s),windgusts_10m_max (m/s),winddirection_10m_dominant (°),et0_fao_evapotranspiration (mm)
2002-12-02,68.7,47.8,65.8,44.5,2002-12-02T09:39,2002-12-02T19:45,12.30,0.00,0.00,0.00,0.0,2.25,5.00,3,2.05
2002-12-03,66.4,48.5,63.8,45.7,2002-12-03T09:40,2002-12-03T19:45,11.91,0.00,0.00,0.00,0.0,2.55,6.00,136,1.93
2002-12-04,69.2,47.1,66.0,44.2,2002-12-04T09:41,2002-12-04T19:44,12.34,0.00,0.00,0.00,0.0,2.15,5.20,352,2.02
2002-12-05,70.4,46.4,67.4,42.0,2002-12-05T09:42,2002-12-05T19:44,10.06,0.00,0.00,0.00,0.0,2.47,4.80,23,1.82
2002-12-06,67.4,47.6,64.1,43.6,2002-12-06T09:43,2002-12-06T19:44,11.96,0.00,0.00,0.00,0.0,2.82,6.70,56,1.98
2002-12-07,64.9,51.0,62.6,49.8,2002-12-07T09:44,2002-12-07T19:45,11.12,0.00,0.00,0.00,0.0,3.08,7.00,201,1.75
2002-12-08,70.1,49.1,67.1,46.6,2002-12-08T09:44,2002-12-08T19:45,11.69,0.00,0.00,0.00,0.0,2.25,4.20,348,2.00
2002-12-09,66.8,47.4,63.6,44.4,2002-12-09T09:45,2002-12-09T19:45,10.36,0.00,0.00,0.00,0.0,2.33,5.20,341,1.82
2002-12-10,67.8,45.6,64.8,42.4,2002-12-10T09:46,2002-12-10T19:45,11.69,0.00,0.00,0.00,0.0,2.88,7.80,358,1.85
2002-12-11,69.2,46.1,66.2,43.0,2002-12-11T09:47,2002-12-11T19:45,11.82,0.00,0.00,0.00,0.0,2.13,5.90,11,1.93
2002-12-12,69.2,45.7,65.3,40.9,2002-12-12T09:47,2002-12-12T19:45,12.08,0.00,0.00,0.00,0.0,2.06,5.30,36,1.99
2002-12-13,66.8,46.9,62.8,43.7,2002-12-13T09:48,2002-12-13T19:46,11.49,0.00,0.00,0.00,0.0,2.69,6.90,320,1.82
2002-12-14,64.7,49.3,61.6,46.7,2002-12-14T09:49,2002-12-14T19:46,8.29,0.00,0.00,0.00,0.0,2.31,6.60,157,1.42
2002-12-15,62.0,55.2,62.3,55.0,2002-12-15T09:49,2002-12-15T19:46,5.71,0.90,0.90,0.00,3.0,2.33,5.80,172,1.01
2002-12-16,60.6,52.4,61.8,50.0,2002-12-16T09:50,2002-12-16T19:46,4.75,21.90,21.90,0.00,9.0,8.54,16.10,151,0.83
2002-12-17,57.5,49.0,53.5,45.0,2002-12-17T09:51,2002-12-17T19:47,9.87,0.30,0.30,0.00,2.0,5.64,12.70,265,1.48
2002-12-18,57.8,44.1,53.9,39.7,2002-12-18T09:51,2002-12-18T19:47,11.99,0.00,0.00,0.00,0.0,3.05,6.90,325,1.66
2002-12-19,57.5,40.5,52.8,35.5,2002-12-19T09:52,2002-12-19T19:48,11.93,0.00,0.00,0.00,0.0,3.61,8.10,105,1.61
2002-12-20,58.1,48.5,53.6,43.0,2002-12-20T09:52,2002-12-20T19:48,9.31,21.70,21.70,0.00,10.0,4.94,11.10,143,1.37
2002-12-21,54.7,46.7,52.2,43.9,2002-12-21T09:53,2002-12-21T19:49,8.10,6.70,6.70,0.00,8.0,2.86,6.50,90,1.06
2002-12-22,58.6,46.6,54.4,42.2,2002-12-22T09:53,2002-12-22T19:49,11.03,3.80,3.80,0.00,6.0,2.63,6.50,4,1.66
2002-12-23,58.2,41.2,53.1,36.0,2002-12-23T09:54,2002-12-23T19:50,12.08,0.00,0.00,0.00,0.0,2.62,5.50,6,1.81
2002-12-24,55.2,38.5,53.9,33.3,2002-12-24T09:54,2002-12-24T19:50,7.27,0.00,0.00,0.00,0.0,2.56,4.50,46,1.07
2002-12-25,59.0,39.8,55.5,35.2,2002-12-25T09:55,2002-12-25T19:51,12.19,0.00,0.00,0.00,0.0,2.55,4.80,11,1.65
2002-12-26,61.5,41.1,57.8,36.5,2002-12-26T09:55,2002-12-26T19:51,10.98,0.00,0.00,0.00,0.0,2.45,4.60,357,1.68
2002-12-27,66.5,42.0,64.3,38.5,2002-12-27T09:55,2002-12-27T19:52,11.83,0.00,0.00,0.00,0.0,2.47,4.60,16,1.89
2002-12-28,61.6,43.1,59.2,38.5,2002-12-28T09:56,2002-12-28T19:53,10.54,0.30,0.30,0.00,1.0,3.01,7.00,78,1.63
2002-12-29,58.3,46.5,53.5,44.3,2002-12-29T09:56,2002-12-29T19:54,10.81,2.40,2.40,0.00,4.0,3.70,8.50,281,1.52
2002-12-30,59.1,41.5,56.8,37.0,2002-12-30T09:56,2002-12-30T19:54,11.65,0.00,0.00,0.00,0.0,2.50,4.80,9,1.65
2002-12-31,59.3,46.1,58.0,43.3,2002-12-31T09:57,2002-12-31T19:55,8.73,0.00,0.00,0.00,0.0,4.40,8.50,288,1.20
2003-01-01,66.4,42.2,63.5,37.6,2003-01-01T09:57,2003-01-01T19:56,12.17,0.00,0.00,0.00,0.0,2.51,5.50,14,1.94
2003-01-02,69.8,43.8,67.3,38.2,2003-01-02T09:57,2003-01-02T19:56,12.27,0.00,0.00,0.00,0.0,2.73,6.00,16,2.29
2003-01-03,75.2,45.6,74.2,41.1,2003-01-03T09:57,2003-01-03T19:57,12.24,0.00,0.00,0.00,0.0,2.64,5.40,20,2.17
2003-01-04,74.9,48.7,74.5,44.6,2003-01-04T09:57,2003-01-04T19:58,11.69,0.00,0.00,0.00,0.0,2.42,4.50,16,2.06
2003-01-05,75.6,47.6,75.1,43.4,2003-01-05T09:57,2003-01-05T19:59,12.50,0.00,0.00,0.00,0.0,2.64,5.40,16,2.23
2003-01-06,71.9,57.5,66.3,49.4,2003-01-06T09:57,2003-01-06T20:00,12.75,0.00,0.00,0.00,0.0,5.87,12.60,26,3.65
2003-01-07,78.7,60.7,75.8,56.1,2003-01-07T09:57,2003-01-07T20:00,12.35,0.00,0.00,0.00,0.0,5.73,11.20,37,3.80
2003-01-08,64.7,52.5,64.6,49.2,2003-01-08T09:57,2003-01-08T20:01,10.86,0.10,0.10,0.00,1.0,2.50,6.60,104,1.69
2003-01-09,62.3,51.1,60.0,50.3,2003-01-09T09:57,2003-01-09T20:02,8.40,0.10,0.10,0.00,1.0,2.66,6.40,120,1.31
2003-01-10,60.8,49.9,60.2,48.8,2003-01-10T09:57,2003-01-10T20:03,6.31,0.00,0.00,0.00,0.0,1.70,4.80,357,1.01
2003-01-11,64.3,47.6,63.2,45.9,2003-01-11T09:57,2003-01-11T20:04,12.37,0.00,0.00,0.00,0.0,2.25,5.90,284,1.80
2003-01-12,65.2,47.6,63.1,46.2,2003-01-12T09:57,2003-01-12T20:05,12.14,0.00,0.00,0.00,0.0,2.60,5.70,244,1.80
