time,temperature_2m_max (°F),temperature_2m_min (°F),apparent_temperature_max (°F),apparent_temperature_min (°F),sunrise (iso8601),sunset (iso8601),shortwave_radiation_sum (MJ/m²),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),windspeed_10m_max (m/s),windgusts_10m_max (m/s),winddirection_10m_dominant (°),et0_fao_evapotranspiration (mm)
2002-12-02,89.0,69.3,92.9,74.6,2002-12-01T20:25,2002-12-02T07:30,18.45,0.00,0.00,0.00,0.0,3.85,6.90,306,4.01
2002-12-03,87.2,69.7,91.8,75.5,2002-12-02T20:25,2002-12-03T07:31,18.21,0.00,0.00,0.00,0.0,4.25,7.30,323,3.93
2002-12-04,87.3,69.2,90.3,73.3,2002-12-03T20:26,2002-12-04T07:31,17.80,0.00,0.00,0.00,0.0,3.22,5.90,345,4.00
2002-12-05,88.9,71.3,94.3,76.0,2002-12-04T20:26,2002-12-05T07:31,17.73,0.00,0.00,0.00,0.0,3.86,7.00,358,4.02
2002-12-06,89.2,71.1,95.1,75.9,2002-12-05T20:27,2002-12-06T07:31,17.84,0.00,0.00,0.00,0.0,4.02,7.10,18,4.01
2002-12-07,90.2,70.4,95.4,73.8,2002-12-06T20:28,2002-12-07T07:32,17.99,0.00,0.00,0.00,0.0,3.79,6.40,24,4.15
2002-12-08,90.6,71.7,97.2,73.8,2002-12-07T20:28,2002-12-08T07:32,17.58,0.00,0.00,0.00,0.0,3.58,6.10,35,4.33
2002-12-09,90.2,69.0,95.3,70.8,2002-12-08T20:29,2002-12-09T07:32,17.10,0.00,0.00,0.00,0.0,4.22,6.90,28,4.40
2002-12-10,90.4,68.2,94.4,70.1,2002-12-09T20:29,2002-12-10T07:32,18.26,0.00,0.00,0.00,0.0,4.17,6.50,21,4.59
2002-12-11,89.8,68.1,93.7,69.2,2002-12-10T20:30,2002-12-11T07:33,18.12,0.00,0.00,0.00,0.0,3.89,6.90,13,4.69
2002-12-12,89.4,69.0,94.4,70.5,2002-12-11T20:31,2002-12-12T07:33,17.99,0.00,0.00,0.00,0.0,4.27,6.70,21,4.59
2002-12-13,90.2,69.6,94.7,70.6,2002-12-12T20:31,2002-12-13T07:33,17.59,0.00,0.00,0.00,0.0,3.82,6.50,30,4.41
2002-12-14,90.3,68.9,96.5,70.3,2002-12-13T20:32,2002-12-14T07:34,17.97,0.00,0.00,0.00,0.0,4.00,7.00,26,4.29
2002-12-15,90.3,67.5,95.8,69.5,2002-12-14T20:32,2002-12-15T07:34,18.13,0.00,0.00,0.00,0.0,3.66,7.00,12,4.31
2002-12-16,90.6,68.9,96.8,70.6,2002-12-15T20:33,2002-12-16T07:35,18.12,0.00,0.00,0.00,0.0,3.14,5.30,34,4.25
2002-12-17,90.3,67.5,95.3,71.3,2002-12-16T20:33,2002-12-17T07:35,17.97,0.00,0.00,0.00,0.0,3.65,5.40,354,4.03
2002-12-18,89.3,67.9,93.1,71.1,2002-12-17T20:34,2002-12-18T07:36,18.14,0.00,0.00,0.00,0.0,3.47,6.20,348,4.10
2002-12-19,89.2,67.0,89.8,68.1,2002-12-18T20:35,2002-12-19T07:36,18.33,0.00,0.00,0.00,0.0,4.05,6.90,356,4.48
2002-12-20,88.7,64.1,88.9,64.6,2002-12-19T20:35,2002-12-20T07:36,18.48,0.00,0.00,0.00,0.0,3.68,5.80,356,4.44
2002-12-21,88.8,66.0,90.1,66.6,2002-12-20T20:36,2002-12-21T07:37,18.33,0.00,0.00,0.00,0.0,4.06,6.50,360,4.65
2002-12-22,88.9,67.8,91.6,71.2,2002-12-21T20:36,2002-12-22T07:37,18.08,0.00,0.00,0.00,0.0,4.17,6.60,347,4.28
2002-12-23,86.4,64.9,88.7,67.4,2002-12-22T20:36,2002-12-23T07:38,18.12,0.00,0.00,0.00,0.0,3.58,6.80,332,3.95
2002-12-24,85.0,64.7,85.5,65.8,2002-12-23T20:37,2002-12-24T07:38,18.28,0.00,0.00,0.00,0.0,3.85,5.80,357,4.25
2002-12-25,85.4,65.4,85.6,66.4,2002-12-24T20:37,2002-12-25T07:39,18.20,0.00,0.00,0.00,0.0,3.97,7.00,1,4.29
2002-12-26,85.5,65.2,88.1,64.9,2002-12-25T20:38,2002-12-26T07:40,18.23,0.00,0.00,0.00,0.0,5.04,8.60,1,4.68
2002-12-27,85.7,64.6,87.8,63.6,2002-12-26T20:38,2002-12-27T07:40,18.00,0.00,0.00,0.00,0.0,4.86,8.20,1,4.72
