time,temperature_2m_max (°F),temperature_2m_min (°F),apparent_temperature_max (°F),apparent_temperature_min (°F),sunrise (iso8601),sunset (iso8601),shortwave_radiation_sum (MJ/m²),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),windspeed_10m_max (m/s),windgusts_10m_max (m/s),winddirection_10m_dominant (°),et0_fao_evapotranspiration (mm)
2002-12-02,39.2,29.4,32.7,19.8,2002-12-02T07:00,2002-12-02T16:30,5.98,0.00,0.00,0.21,0.0,4.56,8.70,235,1.14
2002-12-03,35.6,21.0,27.4,8.4,2002-12-03T07:01,2002-12-03T16:30,9.90,0.00,0.00,0.07,0.0,6.80,14.10,321,1.25
2002-12-04,31.6,18.9,23.9,9.9,2002-12-04T07:02,2002-12-04T16:30,8.89,0.00,0.00,0.00,0.0,4.20,8.50,295,0.87
2002-12-05,30.4,26.1,24.2,16.6,2002-12-05T07:03,2002-12-05T16:30,0.93,15.40,0.00,10.92,16.0,5.75,10.40,25,0.16
2002-12-06,32.7,22.9,24.7,15.0,2002-12-06T07:04,2002-12-06T16:30,8.73,0.00,0.00,0.00,0.0,3.41,6.50,299,0.72
2002-12-07,33.3,16.0,24.8,7.8,2002-12-07T07:05,2002-12-07T16:30,9.64,0.00,0.00,0.00,0.0,4.25,7.90,228,0.77
2002-12-08,39.5,21.5,31.9,13.4,2002-12-08T07:05,2002-12-08T16:30,8.74,0.00,0.00,0.00,0.0,5.00,9.30,261,0.91
2002-12-09,27.8,19.6,19.6,10.0,2002-12-09T07:06,2002-12-09T16:30,9.77,0.00,0.00,0.00,0.0,4.98,10.10,303,1.00
2002-12-10,34.4,22.7,28.7,14.6,2002-12-10T07:07,2002-12-10T16:30,6.98,0.00,0.00,0.00,0.0,2.67,4.60,283,0.72
2002-12-11,37.3,28.3,28.1,19.8,2002-12-11T07:08,2002-12-11T16:30,1.36,17.50,17.50,0.00,12.0,7.19,15.30,31,0.51
2002-12-12,41.8,36.0,36.3,27.9,2002-12-12T07:09,2002-12-12T16:30,8.42,1.80,1.80,0.00,6.0,5.95,12.40,325,0.75
2002-12-13,42.3,32.3,34.9,26.5,2002-12-13T07:09,2002-12-13T16:30,4.58,10.70,10.70,0.00,7.0,6.01,9.50,30,0.45
2002-12-14,45.5,39.6,43.2,30.7,2002-12-14T07:10,2002-12-14T16:30,1.84,5.20,5.20,0.00,14.0,7.06,13.20,5,0.34
2002-12-15,43.5,39.9,36.7,30.8,2002-12-15T07:11,2002-12-15T16:31,8.22,0.00,0.00,0.00,0.0,6.06,11.20,286,1.27
2002-12-16,40.8,28.7,34.0,19.2,2002-12-16T07:12,2002-12-16T16:31,6.84,0.80,0.80,0.00,3.0,7.56,14.60,302,0.96
2002-12-17,33.2,25.1,25.5,15.3,2002-12-17T07:12,2002-12-17T16:31,9.18,0.00,0.00,0.00,0.0,4.52,9.00,346,1.18
2002-12-18,36.4,22.9,29.9,14.2,2002-12-18T07:13,2002-12-18T16:32,9.28,0.00,0.00,0.00,0.0,2.92,5.20,331,0.96
2002-12-19,43.1,27.8,38.8,20.9,2002-12-19T07:13,2002-12-19T16:32,6.38,0.00,0.00,0.00,0.0,3.26,6.50,208,0.70
2002-12-20,55.8,39.1,53.5,30.9,2002-12-20T07:14,2002-12-20T16:33,0.80,17.00,17.00,0.00,12.0,7.53,19.40,220,0.44
